Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
p,P1,Ethernet1,p,P5,Ethernet2,True
p,P1,Ethernet2,pe,PE1,Ethernet2,True
p,P1,Ethernet3,pe,PE2,Ethernet2,True
p,P1,Ethernet4,p,P6,Ethernet4,True
p,P2,Ethernet1,p,P6,Ethernet2,True
p,P2,Ethernet2,pe,PE1,Ethernet3,True
p,P2,Ethernet3,pe,PE2,Ethernet3,True
p,P2,Ethernet4,p,P5,Ethernet4,True
p,P3,Ethernet1,p,P5,Ethernet3,True
p,P3,Ethernet2,pe,PE3,Ethernet2,True
p,P3,Ethernet3,pe,PE4,Ethernet2,True
p,P3,Ethernet4,p,P6,Ethernet5,True
p,P4,Ethernet1,p,P6,Ethernet3,True
p,P4,Ethernet2,pe,PE3,Ethernet3,True
p,P4,Ethernet3,pe,PE4,Ethernet3,True
p,P4,Ethernet4,p,P5,Ethernet5,True
p,P5,Ethernet1,p,P6,Ethernet1,True
p,P5,Ethernet2,p,P1,Ethernet1,True
p,P5,Ethernet3,p,P3,Ethernet1,True
p,P5,Ethernet4,p,P2,Ethernet4,True
p,P5,Ethernet5,p,P4,Ethernet4,True
p,P6,Ethernet1,p,P5,Ethernet1,True
p,P6,Ethernet2,p,P2,Ethernet1,True
p,P6,Ethernet3,p,P4,Ethernet1,True
p,P6,Ethernet4,p,P1,Ethernet4,True
p,P6,Ethernet5,p,P3,Ethernet4,True
pe,PE1,Ethernet1,pe,PE2,Ethernet1,True
pe,PE1,Ethernet2,p,P1,Ethernet2,True
pe,PE1,Ethernet3,p,P2,Ethernet2,True
pe,PE1,Ethernet4,l3_interface,,,True
pe,PE1,Ethernet5,l3_interface,,,True
pe,PE1,Ethernet6,rr,RR5,Ethernet6,True
pe,PE1,Ethernet8,rr,RR6,Ethernet10,True
pe,PE2,Ethernet1,pe,PE1,Ethernet1,True
pe,PE2,Ethernet2,p,P1,Ethernet3,True
pe,PE2,Ethernet3,p,P2,Ethernet3,True
pe,PE2,Ethernet4,l3_interface,,,True
pe,PE2,Ethernet5,l3_interface,,,True
pe,PE2,Ethernet6,rr,RR5,Ethernet7,True
pe,PE2,Ethernet8,rr,RR6,Ethernet13,True
pe,PE3,Ethernet1,pe,PE4,Ethernet1,True
pe,PE3,Ethernet2,p,P3,Ethernet2,True
pe,PE3,Ethernet3,p,P4,Ethernet2,True
pe,PE3,Ethernet4,l3_interface,,,True
pe,PE3,Ethernet5,l3_interface,,,True
pe,PE3,Ethernet6,rr,RR6,Ethernet6,True
pe,PE3,Ethernet8,rr,RR5,Ethernet10,True
pe,PE4,Ethernet1,pe,PE3,Ethernet1,True
pe,PE4,Ethernet2,p,P3,Ethernet3,True
pe,PE4,Ethernet3,p,P4,Ethernet3,True
pe,PE4,Ethernet4,l3_interface,,,True
pe,PE4,Ethernet5,l3_interface,,,True
pe,PE4,Ethernet6,rr,RR6,Ethernet7,True
pe,PE4,Ethernet8,rr,RR5,Ethernet13,True
rr,RR5,Ethernet6,pe,PE1,Ethernet6,True
rr,RR5,Ethernet7,pe,PE2,Ethernet6,True
rr,RR5,Ethernet10,pe,PE3,Ethernet8,True
rr,RR5,Ethernet13,pe,PE4,Ethernet8,True
rr,RR6,Ethernet6,pe,PE3,Ethernet6,True
rr,RR6,Ethernet7,pe,PE4,Ethernet6,True
rr,RR6,Ethernet10,pe,PE1,Ethernet8,True
rr,RR6,Ethernet13,pe,PE2,Ethernet8,True
